question,Cluster_Label
How does the Gita start?,53
"In the Mahabharata war, whom did Duryodhana first talk to?",46
"What did Duryodhana say to his teacher, Drona?",46
Which warriors from the Pandava army did Duryodhana first talk about?,46
Who was the king from Kashi who fought in the Mahabharata war?,28
Which other warriors from the Pandava army did Duryodhana talk about?,46
Why was Duryodhana taking names of all the warriors in the Mahabharata war?,46
Who were the warriors on the Kaurava side that Duryodhana mentioned about?,46
What did Duryodhana say about the warriors on his side in the Mahabharata war?,46
What did Duryodhana say while comparing his army with the Pandava army?,46
What did Duryodhana ask Drona to primarily do during the war?,46
What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,46
What happened after Bhishma blew his conch?,34
Who was the first person from the Pandava side to blow the conch?,46
"What were the names of the conches of Krishna, Arjuna and Bhima?",13
"What were the names of the conches of Yudhisthira, Nakula and Sahadeva?",28
Who else fought from the Pandava side?,46
Who else from the Pandava side blow their conch?,46
What was the reaction of Kauravas after the Pandava side blew their conches?,46
What was depicted on Arjuna's chariot flag?,18
What did Arjuna first ask Krishna to do in the Mahabharata war?,18
Why did Arjuna want Krishna to draw his chariot between the two armies?,18
What did Arjuna want to observe at the beginning of the war?,18
Where did Krishna place the chariot?,47
In front of whom did Krishna place the chariot?,47
Which relatives did Arjuna see on the other side in the war?,18
Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,44
Seeing whom did Arjuna become emotional during the war?,18
What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,18
What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,18
What was Arjuna's reaction when he saw so many relatives in the enemy's army?,18
Where in the Gita does Arjuna say that he has no desire for empire or victory?,18
Why did Arjuna say that he has no desire for victory or the empire?,18
What did Arjuna say about the way teachers and relatives are to be treated?,26
Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,18
What did Arjuna say will happen if he killed his own relatives?,18
What according to Arjuna is the effect of killing our own kin?,18
What did Arjuna say about the nature of Kauravas?,26
Why did Arjuna want to turn away from the battle?,18
What did Arjuna say would happen to his family if he kills his own clan?,18
What did Arjuna say would happen to the women if he kills his own clan?,18
What leads to hell according to Arjuna?,26
What did Arjuna say would happen if there is inter mixing in the clans?,18
What did Arjuna say would happen to those whose clans are destroyed?,18
Why did Arjuna say that he was about to commit a sin?,26
Why did Arjuna want to be killed by the enemy Kauravas?,18
What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,18
What did Sanjaya say about the state of Arjuna?,26
What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?,18
What did Krishna say to encourage Arjuna to fight the war? How can I become strong?,18
Why was Arjuna reluctant to shoot arrows at Bhishma and Drona?,26
Why was Arjuna reluctant to shoot arrows at his teachers?,26
Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?,26
When did Arjuna first admis that he is confused?,26
Why was Arjuna so grief stricken?,18
Where in the Gita did Arjuna say that he will not fight?,18
What was Krishna's first reaction on seeing the grief stricken state of Arjuna?,44
Is it suitable for wise people to grieve?,19
Do human beings cease to exist when they die?,58
What happens to the soul or Atman after death of the body? Does the soul transmigrate after death of the body? What is transmigration of the soul?,58
How do various feelings of pleasure and pain arise?,17
What is the sign of a steadfast human? Where does Krishna talk about impermanence of pleasure and pain?,55
What is the real and unreal?,40
Is there anything that immutable and indestructible in this universe?,40
Does the Jiva also die when the body dies?,58
What is the sign of ignorance in a human?,2
What are the properties of the soul or atman?,25
Can a Jiva be killed by anyone? Can the soul be killed by anyone?,58
What happens to the soul after the body dies? What happens to the soul after death? What happens to the self after the body dies? What happens to the self after death?,58
Can the soul or self or atman be burnt or destroyed?,58
Can the soul be dried up?,58
Is grieving suitable for those who know the Self or soul or atman? What are the characteristics of the Self? What is the soul? What is the Self? What are the characteristics of the soul? Who am I? What is atma? What is the atma?,61
Is grieving suitable for even those who do not believe in an eternal soul or self or atman?,61
Why is grieving unsuitable even for those who do not believe in an eternal soul or self? Can you explain the cycle of birth and death?,61
Do beings have a definite beginning and end?,40
What is so wonderful about the soul or the self?,25
Are all the selves eternal and indestructible?,40
What is the greatest duty of a Kshatriya warrior?,54
What leads a Kshatriya warrior to heaven?,39
What happens to Kshatriya warriors who turn away from their duty?,54
What do people treat Kshatriya warriors who turn away from their duty?,54
What do other warriors treat Kshatriya warriors who turn away from their duty?,54
What do the enemies treat Kshatriya warriors who turn away from their duty?,54
What would have happened if Arjuna lost the Mahabharata war?,18
How can Arjuna make sure that he does not incur any sin by fighting the war?,18
Where does Krishna start telling about Karma Yoga?,11
Does the practice of Karma Yoga protect from evil? How to get rid of fear?,11
How is the nature of the mind and intellect of a Karma Yogi?,11
What happens to people who are engrossed in the rituals of the Vedas?,12
What is wrong with people who are engrossed in the rituals of the Vedas?,12
What is the greatest limitation of people whose minds cling to pleasure and power?,17
What are the characteristics of a person who is free from the three Gunas?,54
Are the Vedas useful for a person with knowledge of the Self?,59
What is the crux of Karma Yoga? What is Karma? What is Karma Yoga? How should we work? What is the secret of work? What is the secret of Karma?,31
What is evenness of mind or equanimity? What is the importance of equanimity?,25
How should action or karma be performed?,11
What is the definition of Yoga? What is Yoga?,23
What happens to those who possess evenness of mind and are equanimous?,16
What happens to those who have gone beyond the tangle of delusion?,37
What happens to those whose whose intellect has been enlightened?,37
What was Arjuna's first question after hearing about Karma Yoga and the state of equanimity?,26
Who is said to possess firm wisdom? Who is considered to be a sthitaprajna? Who is considered to be equanimous?,4
What is the state of a person whose mind is not perturbed by pain?,20
What is the state of a person who is unbiased?,2
When is a person's wisdom said to be firmly established?,2
What happens to the senses when the Self becomes known?,35
How powerful are the senses?,20
Why do we need to control the senses?,20
What happens when we think about sense objects? What is wrong with attachment? Why is detachment necessary for spiritual progress? What is the effect of work with attachment?,63
What happens when we get angry? Why do we make wrong decisions when we are angry?,16
What happens to those who have control over their sense objects? How can we get over anger? How can we become serene?,20
How is the state of a serene person?,4
Why is the importance of contemplation of the Self or soul?,25
What happens to the mind when it follows the senses?,20
What happens to the one whose senses are restrained?,20
What is the difference between discerning sages and others?,4
Where is the analogy with an undisturbed sea mentioned in the Gita?,5
How can we attain peace?,3
What is the Brahmic state?,4
What was Arjuna's confusion about knowledge and action?,26
What was Arjuna's confusion on hearing about the Yoga of knowledge and the Yoga of action?,26
Is there any mention of Sankhya Yoga in the Gita?,23
Does renunciation of work lead to liberation or salvation?,41
Can any person avoid doing action or work even for a moment?,32
Who is a deluded person?,4
Who is an excellent person?,4
Is action superior to inaction? Why is it important to perform one's duties?,32
When does work or action lead to bondage?,15
Why should we propagate our species?,41
What is the duty of ordinary human beings?,41
Who is a thief?,4
How can pious people remain free from sin?,19
What is the importance of food?,41
Where does activity or action spring from?,32
Why is it important to follow the laws of nature?,41
Do people who are satisfied with the Self also need to perform all the worldly duties?,41
Is there any motivation left for people who are satisfied with the Self?,41
Why is detachment important? What is the result of detachment?,41
How did King Janaka reach perfection or salvation or liberation?,14
What impact do great men have on others?,41
Is God also bound by any duties towards the world?,48
Why does God continue to perform action?,48
What will happen if God ceases to perform action?,48
What should be the motivation for the wise men to work?,15
How should wise men treat other human beings?,29
Is action performed by the individual or by nature itself?,32
How does the knowledge of the Gunas lead to detachment?,54
How should the ignorant be treated?,2
Where does Krishna first talk about the concept of surrender?,55
Where does Krishna first talk about the concept of faith?,55
What happens to those who do not follow the principle of Karma Yoga?,11
Should innate desires be repressed?,17
How should one treat his or her own senses?,20
Why is important to perform one's own duty? How can we become successful? How can we achieve success?,41
What did Arjuna ask about sin?,26
What is the primary cause of sin?,61
What is desire? What is the cause of ignorance? Is there any relation between desires and ignorance?,2
Can desires be gratified? Why are desires so hard to satisfy?,17
How does desire overpowers the Self?,17
Why is it important to control the desires?,17
"Which is greater, the Self or the intellect?",25
How can one control the desires?,17
Whom did Krishna first teach Yoga?,23
How did the knowledge of Yoga get lost?,23
Why was Krishna teaching Yoga to Arjuna?,44
What was Arjuna's reaction on hearing that Krishna taught Yoga to Vivasvan and other ancestors?,44
Does God also have multiple births?,40
What is the concept of Avatar or reincarnation? Can God take birth in a human form? Is it possible for God to be born on this earth?,40
When and why does God incarnate? Will Sanatana Dharma be eradicated some day? Can Hinduism be eradicated?,37
Why does God incarnate? Does God do anything to protect good people? Can good people expect any help from God?,48
What happens to those who know about God's incarnations or Avatars?,37
Have people actually attained liberation or salvation?,37
Is there a single path to attain God?,27
What happens to those who perform rituals?,12
What is the concept of varna or caste?,43
Does God also get bound by his actions?,48
Did spiritual seekers of ancient times abstain from work or action?,36
Is it easy to understand the difference between action and inaction?,32
Why is the way of action so mysterious?,32
What is the relation between action and inaction?,32
Who is a sage or pandit?,4
What is the secret of inaction in action?,32
How do sages stay away from evil?,29
How do sages remain free from bondage?,16
How do sages dissolve their Karma?,11
What is the concept of Brahman?,50
What are the different kinds of sacrifices that Yogis perform?,51
What are the different kinds of oblations that Yogis perform?,51
What are the kinds of oblations that Yogis perform?,51
What are the kinds of sacrifices that Yogis perform?,51
How do Yogis perform various austerities?,24
What happens to those who subsist on sacrificial food?,12
What happens to those who do not perform any sactifices?,37
Is there only one correct way of performing sacrifices?,12
Which is the highest sacrifice?,12
How is the sacrifice of knowledge performed?,59
What happens to those who know how to perform the sacrifice of knowledge?,37
How can sinners attain liberation or salvation? Is there any hope for sinners?,37
What does knowledge do to Karma?,11
Which is the best or highest purifier?,33
What happens to those who have faith?,37
What happens to those who do not have faith?,37
What happens to those who practice Karma Yoga?,11
How to get rid of doubts about the Self?,16
What did Arjuna ask after knowing in detail about the path of knowledge and the path of action?,26
Is Karma Yoga better than renunciation of actions?,11
How can one be free from bondage?,17
Is Sankhya Yoga different from Karma Yoga?,11
Do the Sankhya Yogis reach the same state as the Karma Yogis?,11
Why is renunciation so hard?,16
How can one remain untainted and detached while performing action?,32
How should one perform action?,32
Can the senses perceive the mind?,35
What happens to those who act without attachment?,37
Why do Yogis perform action?,24
What is the difference between a Yogi and an ordinary person? What happens to a Yogi who has renounced all fruits of his actions? What happens to a detached Yogi? What happens to a person who is unable to give up attachment?,24
What kind of attitude should one have towards work and duty?,15
Does the Self create actions and their fruits or results?,32
Does God keep track of a person's sins and merits?,6
How can ignorance be destroyed?,2
How can impurities be removed?,16
How do sages look upon saints and sinners?,29
How do equanimous people see the world?,35
How do equanimous people react towards pleasure and pain?,17
How can one enjoy endless happiness?,17
Why is it necessary to be detached from pleasure?,17
Who is a Yogi? Who is happy? What beings happiness? What brings joy?,24
Who attains Moksha? Who attains absolute freedom?,14
Who attains the bliss of Brahman?,50
Who achieves absolute freedom?,56
How should one meditate?,3
How does a sage become eternally free?,37
How do the sages view God?,27
Who is a sannyasin?,4
what is the difference between the path of knowledge and Karma Yoga?,11
for how long should a yogi continue to perform action?,24
when is a person said to be established in Yoga?,23
Can our self be our enemy? Can I be my own enemy? Who is our enemy?,56
who is our friend and who is our enemy?,56
what are the traits of a person with self control? ,29
who is a real saint? ,4
how should we treat our enemies and haters?,29
how can a yogi control his mind? ,24
how should we sit for meditation? While meditating should we sit on the floor or on a chair or on the bed? Can I meditate while sitting in a chair? Can I meditate while sleeping in my bed? Can I meditate while sitting on my bed?,3
what is the best way to meditate? ,3
how should we hold our body during meditation?,3
what should we think during meditation? ,3
What is the benefit of meditation? ,3
how long should we sleep daily? What is the importance of moderation? Is it good to fast for a long time?,3
is it good to be a workaholic? Is overeating a bad idea?,15
who is truly spiritual? ,36
what is a simple analogy for the mind of a yogi? Where in the Gita is the analogy of a lamp in the wind? What are the attributes of a meditative mind?,24
what happens when the mind is controlled by the practice of Yoga? ,23
what is absolute happiness? ,17
do Yogis also have desires? How can we handle sorrow? How can we handle grief?,24
how can we get rid of sorrow and pain? How can we get rid of misery?,61
How should we handle our desires?,17
how can we withdraw the senses from the objects? ,20
How can I control my unsteady and fickle mind?,20
Is it possible to become free from evil?,19
What happens when the mind becomes free from impurities?,16
How can we experience the same Self in all beings?,35
Where can we find God?,27
Do all Yogis live in the same way?,24
Who is the highest Yogi?,24
Was Arjuna convinced that the fickle mind can be controlled?,26
Why did Arjuna think that controlling the mind is very difficult?,26
What are the primary ingredients required to control the mind?,20
What kind of person can attain Yoga?,23
What did Arjuna ask about those who are unable to control themselves?,26
What did Arjuna ask about those who fail to attain perfection in Yoga?,26
Did Arjuna have full faith in Krishna?,44
Do those who fail to attain perfection in Yoga end up suffering like others?,23
How can we attain birth in a pure family?,40
What happens to those who fail to attain perfection in Yoga?,23
Does the good effects of our Yoga practice get carried forward to next birth?,23
Does our practice of Yoga in this life get carried forward to the next life?,23
Is it possible to attain the state of Yoga in just one human birth?,23
Are Yogis higher than the ritualists?,24
Who is the best Yogi?,24
Did Arjuna get to hear the full knowledge of Yoga in the Gita?,26
Did Krishna reveal the full knowledge of Yoga in the Gita?,8
Is it easy to know the truth?,59
How many parts does Prakriti have? What is Prakriti? What are the constituents of Prakriti? What is Prakriti composed of?,31
Is there something beyond or deeper than the physical world we see around us?,35
What is the source of birth of all beings?,40
Is there anything higher than God in this universe?,27
What is Om? What is AUM?,22
What can God be compared with in the physical world?,27
What is intelligence?,25
Can we compare God with desires?,27
What are the three states of physical matter or Prakriti?,33
Why is it so difficult to know God?,27
How can we overcome the delusion caused by Maya?,16
What is a sign of ignorance in human beings?,2
What kind of people worship God?,10
Who is dearest to God? Are the wise dear to God?,19
Who is closest to God?,27
Is it easy to find a man of knowledge?,59
How do worldly minded people worship God?,10
Is there only way to worship God? Can we worship God in any way we like?,10
Does God answer prayers for fulfilment of material desires?,48
What is the highest form of prayer?,51
How do ignorant people view an Avatar?,2
Can deluded people understand God?,19
Is it possible for the human mind to understand God?,27
What is the primary cause of delusion?,61
How do pray to God once they are free from delusions?,48
What should we ask for from God?,27
Is it possible to remember God at the time of death?,58
What did Arjuna want to know about Brahman?,26
What did Arjuna want to know about sacrifice?,26
What is Brahman?,50
Can God exist in a human body? What is the Purusha? Who is Purusha?,27
What is the best way to die?,3
How is the next birth of a person decided?,40
Why should we think about God?,27
What happens if we meditate and do Yoga with focus?,23
What happens to those who meditate on God?,37
How should one leave one's body while dying?,58
Is there any imperishable goal in this universe?,41
How should one do Yoga? How to practice concentration?,3
What is the best way to leave the body after death?,58
What happens to those who remember God uninterruptedly?,37
Are Yogis who have attained the higher perfection in this life once again born in a human body?,24
Is there rebirth for a person who has reached God?,40
How long is one day of Brahma?,50
How does the universe manifest from the unmanifested?,40
What makes a soul born again and again?,40
Is there anything eternal in this every changing universe?,40
What happens to those who have reached God's abode?,37
What is the benefit of developing devotion?,36
Is there any significance of time in the attainment of Yoga?,23
What is the path in time followed by those who attain Yoga?,23
What happens after the Yogi attains the lunar light?,24
What are the two black and white paths of the world?,56
Why should we practice Yoga steadfastly?,23
Is it possible to transcend the rituals of the Vedas?,12
Why did Krishna reveal such deep knowledge and truth to Arjuna?,44
Is there something beyond the reach of science? ,9
What happens to those who don't have faith?,37
Where does God live?,27
Does God exist in all beings?,27
What is the relation between God and invidual human beings?,27
How does the cycle of time proceed?,1
Who or what causes human beings to be born?,40
Does God get tangled in the web of Karma?,6
Is God involved in the birth and death of living beings?,40
Is it wise to believe in God?,10
What is the nature of deluded people?,29
How do wise people view God?,27
How do wise people treat God?,48
How else can one worship God?,10
What are the characteristics of God?,27
Who is the father of this world? Who is the mother of this world? Who is the dispenser of the fruits of action?,56
Who is the supporter of this universe? Who is the witness of this universe?,56
Who is the cause of immortality and death?,58
How can we reach heaven?,9
Is heaven eternal?,40
Does God take care of those who worship him or her?,48
Are the Gods of all religions the same?,10
Who is the lord of all the sacrifices?,12
Do all religious people reach the same God?,10
What should we give to God?,48
What kind of attitude should we have towards God? How should we eat our food? What is devotion? What is love? What is Bhakti? What is faith? How can I best utilise my time? What is the best use of time? What is the best way to live?,31
Can we get rid of the bad results of our actions or Karma and keep only the good ones?,6
Does God treat everyone equally?,48
Do sinful people also have a hope for liberation?,19
Does God take care of his devotees?,48
Is liberation reserved only for upper caste people? Can women attain libertation? Can lower caste people attain liberation? Can shudras attain liberation?,43
Can royal saints attain salvation?,37
What is the best way to achieve salvation?,3
Was Arjuna dear to Krishna?,44
How difficult to know and understand God?,27
How can we git rid of all sin?,49
What are the qualities of a spiritual person or a devotee?,36
What qualities arise from God?,27
What was Manu?,4
How can we become established in unshakeable Yoga?,23
What is the origin of this universe?,56
How do the Yogis live?,24
Does God help those who worship him (or her)?,48
Does God dispel the ignorance of those who are devoted to him (or her)?,48
What did Arjuna say in praise of Krishna?,44
What did Arjuna say about Narada?,26
Does Arjuna believe all that Krishna told him in the Gita?,44
Did Arjuna believe in Krishna?,44
What more did Arjuna want to hear from Krishna?,44
