question,Cluster_Label
how does the gita start?,53
"in the mahabharata war, whom did duryodhana first talk to?",46
"what did duryodhana say to his teacher, drona?",46
which warriors from the pandava army did duryodhana first talk about?,46
who was the king from kashi who fought in the mahabharata war?,28
which other warriors from the pandava army did duryodhana talk about?,46
why was duryodhana taking names of all the warriors in the mahabharata war?,46
who were the warriors on the kaurava side that duryodhana mentioned about?,46
what did duryodhana say about the warriors on his side in the mahabharata war?,46
what did duryodhana say while comparing his army with the pandava army?,46
what did duryodhana ask drona to primarily do during the war?,46
what did bhishma do to cheer up duryodhana during the mahabharata war?,46
what happened after bhishma blew his conch?,34
who was the first person from the pandava side to blow the conch?,46
"what were the names of the conches of krishna, arjuna and bhima?",13
"what were the names of the conches of yudhisthira, nakula and sahadeva?",28
who else fought from the pandava side?,46
who else from the pandava side blow their conch?,46
what was the reaction of kauravas after the pandava side blew their conches?,46
what was depicted on arjuna's chariot flag?,18
what did arjuna first ask krishna to do in the mahabharata war?,18
why did arjuna want krishna to draw his chariot between the two armies?,18
what did arjuna want to observe at the beginning of the war?,18
where did krishna place the chariot?,47
in front of whom did krishna place the chariot?,47
which relatives did arjuna see on the other side in the war?,18
whom did arjuna see when krishna placed his chariot in the middle of the two armies?,44
seeing whom did arjuna become emotional during the war?,18
what happened to arjuna's limbs when he saw so many relatives in the enemy's army?,18
what happened to arjuna's bow when he saw so many relatives in the enemy's army?,18
what was arjuna's reaction when he saw so many relatives in the enemy's army?,18
where in the gita does arjuna say that he has no desire for empire or victory?,18
why did arjuna say that he has no desire for victory or the empire?,18
what did arjuna say about the way teachers and relatives are to be treated?,26
where in the gita does arjuna say that he will not kill his relatives even if they kill him?,18
what did arjuna say will happen if he killed his own relatives?,18
what according to arjuna is the effect of killing our own kin?,18
what did arjuna say about the nature of kauravas?,26
why did arjuna want to turn away from the battle?,18
what did arjuna say would happen to his family if he kills his own clan?,18
what did arjuna say would happen to the women if he kills his own clan?,18
what leads to hell according to arjuna?,26
what did arjuna say would happen if there is inter mixing in the clans?,18
what did arjuna say would happen to those whose clans are destroyed?,18
why did arjuna say that he was about to commit a sin?,26
why did arjuna want to be killed by the enemy kauravas?,18
what did arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,18
what did sanjaya say about the state of arjuna?,26
what were krishna's first words on seeing the weak state of arjuna after he refused to fight the war?,18
what did krishna say to encourage arjuna to fight the war? how can i become strong?,18
why was arjuna reluctant to shoot arrows at bhishma and drona?,26
why was arjuna reluctant to shoot arrows at his teachers?,26
why was arjuna reluctant to shoot arrows at kauravas (sons of dhrtarastra)?,26
when did arjuna first admis that he is confused?,26
why was arjuna so grief stricken?,18
where in the gita did arjuna say that he will not fight?,18
what was krishna's first reaction on seeing the grief stricken state of arjuna?,44
is it suitable for wise people to grieve?,19
do human beings cease to exist when they die?,58
what happens to the soul or atman after death of the body? does the soul transmigrate after death of the body? what is transmigration of the soul?,58
how do various feelings of pleasure and pain arise?,17
what is the sign of a steadfast human? where does krishna talk about impermanence of pleasure and pain?,55
what is the real and unreal?,40
is there anything that immutable and indestructible in this universe?,40
does the jiva also die when the body dies?,58
what is the sign of ignorance in a human?,2
what are the properties of the soul or atman?,25
can a jiva be killed by anyone? can the soul be killed by anyone?,58
what happens to the soul after the body dies? what happens to the soul after death? what happens to the self after the body dies? what happens to the self after death?,58
can the soul or self or atman be burnt or destroyed?,58
can the soul be dried up?,58
is grieving suitable for those who know the self or soul or atman? what are the characteristics of the self? what is the soul? what is the self? what are the characteristics of the soul? who am i? what is atma? what is the atma?,61
is grieving suitable for even those who do not believe in an eternal soul or self or atman?,61
why is grieving unsuitable even for those who do not believe in an eternal soul or self? can you explain the cycle of birth and death?,61
do beings have a definite beginning and end?,40
what is so wonderful about the soul or the self?,25
are all the selves eternal and indestructible?,40
what is the greatest duty of a kshatriya warrior?,54
what leads a kshatriya warrior to heaven?,39
what happens to kshatriya warriors who turn away from their duty?,54
what do people treat kshatriya warriors who turn away from their duty?,54
what do other warriors treat kshatriya warriors who turn away from their duty?,54
what do the enemies treat kshatriya warriors who turn away from their duty?,54
what would have happened if arjuna lost the mahabharata war?,18
how can arjuna make sure that he does not incur any sin by fighting the war?,18
where does krishna start telling about karma yoga?,11
does the practice of karma yoga protect from evil? how to get rid of fear?,11
how is the nature of the mind and intellect of a karma yogi?,11
what happens to people who are engrossed in the rituals of the vedas?,12
what is wrong with people who are engrossed in the rituals of the vedas?,12
what is the greatest limitation of people whose minds cling to pleasure and power?,17
what are the characteristics of a person who is free from the three gunas?,54
are the vedas useful for a person with knowledge of the self?,59
what is the crux of karma yoga? what is karma? what is karma yoga? how should we work? what is the secret of work? what is the secret of karma?,31
what is evenness of mind or equanimity? what is the importance of equanimity?,25
how should action or karma be performed?,11
what is the definition of yoga? what is yoga?,23
what happens to those who possess evenness of mind and are equanimous?,16
what happens to those who have gone beyond the tangle of delusion?,37
what happens to those whose whose intellect has been enlightened?,37
what was arjuna's first question after hearing about karma yoga and the state of equanimity?,26
who is said to possess firm wisdom? who is considered to be a sthitaprajna? who is considered to be equanimous?,4
what is the state of a person whose mind is not perturbed by pain?,20
what is the state of a person who is unbiased?,2
when is a person's wisdom said to be firmly established?,2
what happens to the senses when the self becomes known?,35
how powerful are the senses?,20
why do we need to control the senses?,20
what happens when we think about sense objects? what is wrong with attachment? why is detachment necessary for spiritual progress? what is the effect of work with attachment?,63
what happens when we get angry? why do we make wrong decisions when we are angry?,16
what happens to those who have control over their sense objects? how can we get over anger? how can we become serene?,20
how is the state of a serene person?,4
why is the importance of contemplation of the self or soul?,25
what happens to the mind when it follows the senses?,20
what happens to the one whose senses are restrained?,20
what is the difference between discerning sages and others?,4
where is the analogy with an undisturbed sea mentioned in the gita?,5
how can we attain peace?,3
what is the brahmic state?,4
what was arjuna's confusion about knowledge and action?,26
what was arjuna's confusion on hearing about the yoga of knowledge and the yoga of action?,26
is there any mention of sankhya yoga in the gita?,23
does renunciation of work lead to liberation or salvation?,41
can any person avoid doing action or work even for a moment?,32
who is a deluded person?,4
who is an excellent person?,4
is action superior to inaction? why is it important to perform one's duties?,32
when does work or action lead to bondage?,15
why should we propagate our species?,41
what is the duty of ordinary human beings?,41
who is a thief?,4
how can pious people remain free from sin?,19
what is the importance of food?,41
where does activity or action spring from?,32
why is it important to follow the laws of nature?,41
do people who are satisfied with the self also need to perform all the worldly duties?,41
is there any motivation left for people who are satisfied with the self?,41
why is detachment important? what is the result of detachment?,41
how did king janaka reach perfection or salvation or liberation?,14
what impact do great men have on others?,41
is god also bound by any duties towards the world?,48
why does god continue to perform action?,48
what will happen if god ceases to perform action?,48
what should be the motivation for the wise men to work?,15
how should wise men treat other human beings?,29
is action performed by the individual or by nature itself?,32
how does the knowledge of the gunas lead to detachment?,54
how should the ignorant be treated?,2
where does krishna first talk about the concept of surrender?,55
where does krishna first talk about the concept of faith?,55
what happens to those who do not follow the principle of karma yoga?,11
should innate desires be repressed?,17
how should one treat his or her own senses?,20
why is important to perform one's own duty? how can we become successful? how can we achieve success?,41
what did arjuna ask about sin?,26
what is the primary cause of sin?,61
what is desire? what is the cause of ignorance? is there any relation between desires and ignorance?,2
can desires be gratified? why are desires so hard to satisfy?,17
how does desire overpowers the self?,17
why is it important to control the desires?,17
"which is greater, the self or the intellect?",25
how can one control the desires?,17
whom did krishna first teach yoga?,23
how did the knowledge of yoga get lost?,23
why was krishna teaching yoga to arjuna?,44
what was arjuna's reaction on hearing that krishna taught yoga to vivasvan and other ancestors?,44
does god also have multiple births?,40
what is the concept of avatar or reincarnation? can god take birth in a human form? is it possible for god to be born on this earth?,40
when and why does god incarnate? will sanatana dharma be eradicated some day? can hinduism be eradicated?,37
why does god incarnate? does god do anything to protect good people? can good people expect any help from god?,48
what happens to those who know about god's incarnations or avatars?,37
have people actually attained liberation or salvation?,37
is there a single path to attain god?,27
what happens to those who perform rituals?,12
what is the concept of varna or caste?,43
does god also get bound by his actions?,48
did spiritual seekers of ancient times abstain from work or action?,36
is it easy to understand the difference between action and inaction?,32
why is the way of action so mysterious?,32
what is the relation between action and inaction?,32
who is a sage or pandit?,4
what is the secret of inaction in action?,32
how do sages stay away from evil?,29
how do sages remain free from bondage?,16
how do sages dissolve their karma?,11
what is the concept of brahman?,50
what are the different kinds of sacrifices that yogis perform?,51
what are the different kinds of oblations that yogis perform?,51
what are the kinds of oblations that yogis perform?,51
what are the kinds of sacrifices that yogis perform?,51
how do yogis perform various austerities?,24
what happens to those who subsist on sacrificial food?,12
what happens to those who do not perform any sactifices?,37
is there only one correct way of performing sacrifices?,12
which is the highest sacrifice?,12
how is the sacrifice of knowledge performed?,59
what happens to those who know how to perform the sacrifice of knowledge?,37
how can sinners attain liberation or salvation? is there any hope for sinners?,37
what does knowledge do to karma?,11
which is the best or highest purifier?,33
what happens to those who have faith?,37
what happens to those who do not have faith?,37
what happens to those who practice karma yoga?,11
how to get rid of doubts about the self?,16
what did arjuna ask after knowing in detail about the path of knowledge and the path of action?,26
is karma yoga better than renunciation of actions?,11
how can one be free from bondage?,17
is sankhya yoga different from karma yoga?,11
do the sankhya yogis reach the same state as the karma yogis?,11
why is renunciation so hard?,16
how can one remain untainted and detached while performing action?,32
how should one perform action?,32
can the senses perceive the mind?,35
what happens to those who act without attachment?,37
why do yogis perform action?,24
what is the difference between a yogi and an ordinary person? what happens to a yogi who has renounced all fruits of his actions? what happens to a detached yogi? what happens to a person who is unable to give up attachment?,24
what kind of attitude should one have towards work and duty?,15
does the self create actions and their fruits or results?,32
does god keep track of a person's sins and merits?,6
how can ignorance be destroyed?,2
how can impurities be removed?,16
how do sages look upon saints and sinners?,29
how do equanimous people see the world?,35
how do equanimous people react towards pleasure and pain?,17
how can one enjoy endless happiness?,17
why is it necessary to be detached from pleasure?,17
who is a yogi? who is happy? what beings happiness? what brings joy?,24
who attains moksha? who attains absolute freedom?,14
who attains the bliss of brahman?,50
who achieves absolute freedom?,56
how should one meditate?,3
how does a sage become eternally free?,37
how do the sages view god?,27
who is a sannyasin?,4
what is the difference between the path of knowledge and karma yoga?,11
for how long should a yogi continue to perform action?,24
when is a person said to be established in yoga?,23
can our self be our enemy? can i be my own enemy? who is our enemy?,56
who is our friend and who is our enemy?,56
what are the traits of a person with self control?,29
who is a real saint?,4
how should we treat our enemies and haters?,29
how can a yogi control his mind?,24
how should we sit for meditation? while meditating should we sit on the floor or on a chair or on the bed? can i meditate while sitting in a chair? can i meditate while sleeping in my bed? can i meditate while sitting on my bed?,3
what is the best way to meditate?,3
how should we hold our body during meditation?,3
what should we think during meditation?,3
what is the benefit of meditation?,3
how long should we sleep daily? what is the importance of moderation? is it good to fast for a long time?,3
is it good to be a workaholic? is overeating a bad idea?,15
who is truly spiritual?,36
what is a simple analogy for the mind of a yogi? where in the gita is the analogy of a lamp in the wind? what are the attributes of a meditative mind?,24
what happens when the mind is controlled by the practice of yoga?,23
what is absolute happiness?,17
do yogis also have desires? how can we handle sorrow? how can we handle grief?,24
how can we get rid of sorrow and pain? how can we get rid of misery?,61
how should we handle our desires?,17
how can we withdraw the senses from the objects?,20
how can i control my unsteady and fickle mind?,20
is it possible to become free from evil?,19
what happens when the mind becomes free from impurities?,16
how can we experience the same self in all beings?,35
where can we find god?,27
do all yogis live in the same way?,24
who is the highest yogi?,24
was arjuna convinced that the fickle mind can be controlled?,26
why did arjuna think that controlling the mind is very difficult?,26
what are the primary ingredients required to control the mind?,20
what kind of person can attain yoga?,23
what did arjuna ask about those who are unable to control themselves?,26
what did arjuna ask about those who fail to attain perfection in yoga?,26
did arjuna have full faith in krishna?,44
do those who fail to attain perfection in yoga end up suffering like others?,23
how can we attain birth in a pure family?,40
what happens to those who fail to attain perfection in yoga?,23
does the good effects of our yoga practice get carried forward to next birth?,23
does our practice of yoga in this life get carried forward to the next life?,23
is it possible to attain the state of yoga in just one human birth?,23
are yogis higher than the ritualists?,24
who is the best yogi?,24
did arjuna get to hear the full knowledge of yoga in the gita?,26
did krishna reveal the full knowledge of yoga in the gita?,8
is it easy to know the truth?,59
how many parts does prakriti have? what is prakriti? what are the constituents of prakriti? what is prakriti composed of?,31
is there something beyond or deeper than the physical world we see around us?,35
what is the source of birth of all beings?,40
is there anything higher than god in this universe?,27
what is om? what is aum?,22
what can god be compared with in the physical world?,27
what is intelligence?,25
can we compare god with desires?,27
what are the three states of physical matter or prakriti?,33
why is it so difficult to know god?,27
how can we overcome the delusion caused by maya?,16
what is a sign of ignorance in human beings?,2
what kind of people worship god?,10
who is dearest to god? are the wise dear to god?,19
who is closest to god?,27
is it easy to find a man of knowledge?,59
how do worldly minded people worship god?,10
is there only way to worship god? can we worship god in any way we like?,10
does god answer prayers for fulfilment of material desires?,48
what is the highest form of prayer?,51
how do ignorant people view an avatar?,2
can deluded people understand god?,19
is it possible for the human mind to understand god?,27
what is the primary cause of delusion?,61
how do pray to god once they are free from delusions?,48
what should we ask for from god?,27
is it possible to remember god at the time of death?,58
what did arjuna want to know about brahman?,26
what did arjuna want to know about sacrifice?,26
what is brahman?,50
can god exist in a human body? what is the purusha? who is purusha?,27
what is the best way to die?,3
how is the next birth of a person decided?,40
why should we think about god?,27
what happens if we meditate and do yoga with focus?,23
what happens to those who meditate on god?,37
how should one leave one's body while dying?,58
is there any imperishable goal in this universe?,41
how should one do yoga? how to practice concentration?,3
what is the best way to leave the body after death?,58
what happens to those who remember god uninterruptedly?,37
are yogis who have attained the higher perfection in this life once again born in a human body?,24
is there rebirth for a person who has reached god?,40
how long is one day of brahma?,50
how does the universe manifest from the unmanifested?,40
what makes a soul born again and again?,40
is there anything eternal in this every changing universe?,40
what happens to those who have reached god's abode?,37
what is the benefit of developing devotion?,36
is there any significance of time in the attainment of yoga?,23
what is the path in time followed by those who attain yoga?,23
what happens after the yogi attains the lunar light?,24
what are the two black and white paths of the world?,56
why should we practice yoga steadfastly?,23
is it possible to transcend the rituals of the vedas?,12
why did krishna reveal such deep knowledge and truth to arjuna?,44
is there something beyond the reach of science?,9
what happens to those who don't have faith?,37
where does god live?,27
does god exist in all beings?,27
what is the relation between god and invidual human beings?,27
how does the cycle of time proceed?,1
who or what causes human beings to be born?,40
does god get tangled in the web of karma?,6
is god involved in the birth and death of living beings?,40
is it wise to believe in god?,10
what is the nature of deluded people?,29
how do wise people view god?,27
how do wise people treat god?,48
how else can one worship god?,10
what are the characteristics of god?,27
who is the father of this world? who is the mother of this world? who is the dispenser of the fruits of action?,56
who is the supporter of this universe? who is the witness of this universe?,56
who is the cause of immortality and death?,58
how can we reach heaven?,9
is heaven eternal?,40
does god take care of those who worship him or her?,48
are the gods of all religions the same?,10
who is the lord of all the sacrifices?,12
do all religious people reach the same god?,10
what should we give to god?,48
what kind of attitude should we have towards god? how should we eat our food? what is devotion? what is love? what is bhakti? what is faith? how can i best utilise my time? what is the best use of time? what is the best way to live?,31
can we get rid of the bad results of our actions or karma and keep only the good ones?,6
does god treat everyone equally?,48
do sinful people also have a hope for liberation?,19
does god take care of his devotees?,48
is liberation reserved only for upper caste people? can women attain libertation? can lower caste people attain liberation? can shudras attain liberation?,43
can royal saints attain salvation?,37
what is the best way to achieve salvation?,3
was arjuna dear to krishna?,44
how difficult to know and understand god?,27
how can we git rid of all sin?,49
what are the qualities of a spiritual person or a devotee?,36
what qualities arise from god?,27
what was manu?,4
how can we become established in unshakeable yoga?,23
what is the origin of this universe?,56
how do the yogis live?,24
does god help those who worship him (or her)?,48
does god dispel the ignorance of those who are devoted to him (or her)?,48
what did arjuna say in praise of krishna?,44
what did arjuna say about narada?,26
does arjuna believe all that krishna told him in the gita?,44
did arjuna believe in krishna?,44
what more did arjuna want to hear from krishna?,44
what did arjuna ask about meditation?,26
did arjuna ever ask krishna to repeat what he had already said?,44
did krishna ever repeat what he had already said in the gita?,8
is god same as the self that dwells in all beings?,27
which luminous body did krishna compare god with?,47
which veda did krishna compare god with?,47
which mountain did krishna compare god with?,47
which water reservoir did krishna compare god with?,47
which sage did krishna compare god with?,47
which tree did krishna compare god with?,47
which horse and elephant did krishna compare god with?,47
which weapon did krishna compare god with?,47
which aquatic being did krishna compare god with?,47
which bird did krishna compare god with?,47
which warrior did krishna compare god with?,47
which science did krishna compare god with?,47
what letter did krishna compare god with?,47
which feminine quality did krishna compare god with?,47
which hymn did krishna compare god with?,47
which fraudulent activity did krishna compare god with?,47
which pandava did krishna compare god with?,47
which secret did krishna compare god with?,47
can anything exist without god?,27
what are the limitations of god and his manifestations?,27
what is the source of power and energy in human beings?,25
is it useful to have a detailed knowledge of how the universe functions?,63
did arjuna's delusion get dispelled?,26
did arjuna hear the gita in detail?,44
