question,Cluster_Label
How does the Gita start?,63
"In the Mahabharata war, whom did Duryodhana first talk to?",55
"What did Duryodhana say to his teacher, Drona?",13
Which warriors from the Pandava army did Duryodhana first talk about?,55
Who was the king from Kashi who fought in the Mahabharata war?,35
Which other warriors from the Pandava army did Duryodhana talk about?,55
Why was Duryodhana taking names of all the warriors in the Mahabharata war?,55
Who were the warriors on the Kaurava side that Duryodhana mentioned about?,18
What did Duryodhana say about the warriors on his side in the Mahabharata war?,18
What did Duryodhana say while comparing his army with the Pandava army?,55
What did Duryodhana ask Drona to primarily do during the war?,34
What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,55
What happened after Bhishma blew his conch?,13
Who was the first person from the Pandava side to blow the conch?,13
"What were the names of the conches of Krishna, Arjuna and Bhima?",20
"What were the names of the conches of Yudhisthira, Nakula and Sahadeva?",34
Who else fought from the Pandava side?,18
Who else from the Pandava side blow their conch?,13
What was the reaction of Kauravas after the Pandava side blew their conches?,34
What was depicted on Arjuna's chariot flag?,53
What did Arjuna first ask Krishna to do in the Mahabharata war?,12
Why did Arjuna want Krishna to draw his chariot between the two armies?,12
What did Arjuna want to observe at the beginning of the war?,53
Where did Krishna place the chariot?,39
In front of whom did Krishna place the chariot?,39
Which relatives did Arjuna see on the other side in the war?,53
Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,12
Seeing whom did Arjuna become emotional during the war?,53
What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,39
What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,39
What was Arjuna's reaction when he saw so many relatives in the enemy's army?,53
Where in the Gita does Arjuna say that he has no desire for empire or victory?,43
Why did Arjuna say that he has no desire for victory or the empire?,39
What did Arjuna say about the way teachers and relatives are to be treated?,18
Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,43
What did Arjuna say will happen if he killed his own relatives?,2
What according to Arjuna is the effect of killing our own kin?,52
What did Arjuna say about the nature of Kauravas?,39
Why did Arjuna want to turn away from the battle?,53
What did Arjuna say would happen to his family if he kills his own clan?,39
What did Arjuna say would happen to the women if he kills his own clan?,39
What leads to hell according to Arjuna?,34
What did Arjuna say would happen if there is inter mixing in the clans?,39
What did Arjuna say would happen to those whose clans are destroyed?,39
Why did Arjuna say that he was about to commit a sin?,39
Why did Arjuna want to be killed by the enemy Kauravas?,39
What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,39
What did Sanjaya say about the state of Arjuna?,20
What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?,12
What did Krishna say to encourage Arjuna to fight the war? How can I become strong?,53
Why was Arjuna reluctant to shoot arrows at Bhishma and Drona?,20
Why was Arjuna reluctant to shoot arrows at his teachers?,39
Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?,39
When did Arjuna first admis that he is confused?,20
Why was Arjuna so grief stricken?,39
Where in the Gita did Arjuna say that he will not fight?,6
What was Krishna's first reaction on seeing the grief stricken state of Arjuna?,50
Is it suitable for wise people to grieve?,62
Do human beings cease to exist when they die?,38
What happens to the soul or Atman after death of the body? Does the soul transmigrate after death of the body? What is transmigration of the soul?,23
How do various feelings of pleasure and pain arise?,15
What is the sign of a steadfast human? Where does Krishna talk about impermanence of pleasure and pain?,27
What is the real and unreal?,33
Is there anything that immutable and indestructible in this universe?,47
Does the Jiva also die when the body dies?,8
What is the sign of ignorance in a human?,5
What are the properties of the soul or atman?,62
Can a Jiva be killed by anyone? Can the soul be killed by anyone?,49
What happens to the soul after the body dies? What happens to the soul after death? What happens to the self after the body dies? What happens to the self after death?,51
Can the soul or self or atman be burnt or destroyed?,47
Can the soul be dried up?,15
Is grieving suitable for those who know the Self or soul or atman? What are the characteristics of the Self? What is the soul? What is the Self? What are the characteristics of the soul? Who am I? What is atma? What is the atma?,23
Is grieving suitable for even those who do not believe in an eternal soul or self or atman?,47
Why is grieving unsuitable even for those who do not believe in an eternal soul or self? Can you explain the cycle of birth and death?,15
Do beings have a definite beginning and end?,47
What is so wonderful about the soul or the self?,15
Are all the selves eternal and indestructible?,38
What is the greatest duty of a Kshatriya warrior?,4
What leads a Kshatriya warrior to heaven?,61
What happens to Kshatriya warriors who turn away from their duty?,4
What do people treat Kshatriya warriors who turn away from their duty?,4
What do other warriors treat Kshatriya warriors who turn away from their duty?,4
What do the enemies treat Kshatriya warriors who turn away from their duty?,4
What would have happened if Arjuna lost the Mahabharata war?,20
How can Arjuna make sure that he does not incur any sin by fighting the war?,39
Where does Krishna start telling about Karma Yoga?,13
Does the practice of Karma Yoga protect from evil? How to get rid of fear?,49
How is the nature of the mind and intellect of a Karma Yogi?,49
What happens to people who are engrossed in the rituals of the Vedas?,1
What is wrong with people who are engrossed in the rituals of the Vedas?,49
What is the greatest limitation of people whose minds cling to pleasure and power?,30
What are the characteristics of a person who is free from the three Gunas?,33
Are the Vedas useful for a person with knowledge of the Self?,8
What is the crux of Karma Yoga? What is Karma? What is Karma Yoga? How should we work? What is the secret of work? What is the secret of Karma?,9
What is evenness of mind or equanimity? What is the importance of equanimity?,21
How should action or karma be performed?,62
What is the definition of Yoga? What is Yoga?,26
What happens to those who possess evenness of mind and are equanimous?,48
What happens to those who have gone beyond the tangle of delusion?,30
What happens to those whose whose intellect has been enlightened?,38
What was Arjuna's first question after hearing about Karma Yoga and the state of equanimity?,55
Who is said to possess firm wisdom? Who is considered to be a sthitaprajna? Who is considered to be equanimous?,8
What is the state of a person whose mind is not perturbed by pain?,15
What is the state of a person who is unbiased?,47
When is a person's wisdom said to be firmly established?,32
What happens to the senses when the Self becomes known?,15
How powerful are the senses?,47
Why do we need to control the senses?,38
What happens when we think about sense objects? What is wrong with attachment? Why is detachment necessary for spiritual progress? What is the effect of work with attachment?,51
What happens when we get angry? Why do we make wrong decisions when we are angry?,10
What happens to those who have control over their sense objects? How can we get over anger? How can we become serene?,30
How is the state of a serene person?,21
Why is the importance of contemplation of the Self or soul?,15
What happens to the mind when it follows the senses?,15
What happens to the one whose senses are restrained?,30
What is the difference between discerning sages and others?,26
Where is the analogy with an undisturbed sea mentioned in the Gita?,19
How can we attain peace?,21
What is the Brahmic state?,17
What was Arjuna's confusion about knowledge and action?,35
What was Arjuna's confusion on hearing about the Yoga of knowledge and the Yoga of action?,24
Is there any mention of Sankhya Yoga in the Gita?,63
Does renunciation of work lead to liberation or salvation?,15
Can any person avoid doing action or work even for a moment?,30
Who is a deluded person?,5
Who is an excellent person?,10
Is action superior to inaction? Why is it important to perform one's duties?,38
When does work or action lead to bondage?,38
Why should we propagate our species?,33
What is the duty of ordinary human beings?,5
Who is a thief?,33
How can pious people remain free from sin?,30
What is the importance of food?,33
Where does activity or action spring from?,62
Why is it important to follow the laws of nature?,21
Do people who are satisfied with the Self also need to perform all the worldly duties?,5
Is there any motivation left for people who are satisfied with the Self?,30
Why is detachment important? What is the result of detachment?,47
How did King Janaka reach perfection or salvation or liberation?,36
What impact do great men have on others?,10
Is God also bound by any duties towards the world?,59
Why does God continue to perform action?,59
What will happen if God ceases to perform action?,42
What should be the motivation for the wise men to work?,38
How should wise men treat other human beings?,38
Is action performed by the individual or by nature itself?,38
How does the knowledge of the Gunas lead to detachment?,17
How should the ignorant be treated?,33
Where does Krishna first talk about the concept of surrender?,39
Where does Krishna first talk about the concept of faith?,39
What happens to those who do not follow the principle of Karma Yoga?,23
Should innate desires be repressed?,38
How should one treat his or her own senses?,15
Why is important to perform one's own duty? How can we become successful? How can we achieve success?,38
What did Arjuna ask about sin?,2
What is the primary cause of sin?,5
What is desire? What is the cause of ignorance? Is there any relation between desires and ignorance?,38
Can desires be gratified? Why are desires so hard to satisfy?,38
How does desire overpowers the Self?,5
Why is it important to control the desires?,30
"Which is greater, the Self or the intellect?",33
How can one control the desires?,15
Whom did Krishna first teach Yoga?,55
How did the knowledge of Yoga get lost?,26
Why was Krishna teaching Yoga to Arjuna?,20
What was Arjuna's reaction on hearing that Krishna taught Yoga to Vivasvan and other ancestors?,20
Does God also have multiple births?,27
What is the concept of Avatar or reincarnation? Can God take birth in a human form? Is it possible for God to be born on this earth?,54
When and why does God incarnate? Will Sanatana Dharma be eradicated some day? Can Hinduism be eradicated?,54
Why does God incarnate? Does God do anything to protect good people? Can good people expect any help from God?,59
What happens to those who know about God's incarnations or Avatars?,10
Have people actually attained liberation or salvation?,47
Is there a single path to attain God?,10
What happens to those who perform rituals?,48
What is the concept of varna or caste?,31
Does God also get bound by his actions?,59
Did spiritual seekers of ancient times abstain from work or action?,21
Is it easy to understand the difference between action and inaction?,62
Why is the way of action so mysterious?,38
What is the relation between action and inaction?,47
Who is a sage or pandit?,8
What is the secret of inaction in action?,38
How do sages stay away from evil?,44
How do sages remain free from bondage?,32
How do sages dissolve their Karma?,44
What is the concept of Brahman?,4
What are the different kinds of sacrifices that Yogis perform?,49
What are the different kinds of oblations that Yogis perform?,8
What are the kinds of oblations that Yogis perform?,8
What are the kinds of sacrifices that Yogis perform?,49
How do Yogis perform various austerities?,8
What happens to those who subsist on sacrificial food?,5
What happens to those who do not perform any sactifices?,48
Is there only one correct way of performing sacrifices?,10
Which is the highest sacrifice?,54
How is the sacrifice of knowledge performed?,62
What happens to those who know how to perform the sacrifice of knowledge?,15
How can sinners attain liberation or salvation? Is there any hope for sinners?,15
What does knowledge do to Karma?,23
Which is the best or highest purifier?,8
What happens to those who have faith?,5
What happens to those who do not have faith?,5
What happens to those who practice Karma Yoga?,23
How to get rid of doubts about the Self?,23
What did Arjuna ask after knowing in detail about the path of knowledge and the path of action?,55
Is Karma Yoga better than renunciation of actions?,8
How can one be free from bondage?,51
Is Sankhya Yoga different from Karma Yoga?,31
Do the Sankhya Yogis reach the same state as the Karma Yogis?,7
Why is renunciation so hard?,62
How can one remain untainted and detached while performing action?,15
How should one perform action?,15
Can the senses perceive the mind?,47
What happens to those who act without attachment?,30
Why do Yogis perform action?,33
What is the difference between a Yogi and an ordinary person? What happens to a Yogi who has renounced all fruits of his actions? What happens to a detached Yogi? What happens to a person who is unable to give up attachment?,23
What kind of attitude should one have towards work and duty?,38
Does the Self create actions and their fruits or results?,38
Does God keep track of a person's sins and merits?,42
How can ignorance be destroyed?,15
How can impurities be removed?,62
How do sages look upon saints and sinners?,44
How do equanimous people see the world?,5
How do equanimous people react towards pleasure and pain?,48
How can one enjoy endless happiness?,62
Why is it necessary to be detached from pleasure?,38
Who is a Yogi? Who is happy? What beings happiness? What brings joy?,49
Who attains Moksha? Who attains absolute freedom?,33
Who attains the bliss of Brahman?,61
Who achieves absolute freedom?,33
How should one meditate?,9
How does a sage become eternally free?,23
How do the sages view God?,4
